ward,block,bedrooms,pct.of.block,pct.of.ward
0001,550790002011000,3,1,0.0031512605042016808
0001,550790002011001,22,1,0.023109243697478993
0001,550790002011003,9,1,0.009453781512605041
0001,550790002011004,366,1,0.38445378151260506
0001,550790002011005,1,1,0.0010504201680672268
0001,550790002011006,23,1,0.02415966386554622
0001,550790002011007,5,1,0.005252100840336135
0001,550790002011008,4,1,0.004201680672268907
0001,550790002011009,1,1,0.0010504201680672268
0001,550790002012000,277,1,0.29096638655462187
0001,550790002012001,45,1,0.04726890756302521
0001,550790002012002,20,1,0.02100840336134454
0001,550790002012003,1,1,0.0010504201680672268
0001,550790002012006,2,1,0.0021008403361344537
0001,550790002012012,6,1,0.0063025210084033615
0001,550790002012013,161,1,0.16911764705882354
0001,550790002012015,1,1,0.0010504201680672268
0001,550790002012017,4,1,0.004201680672268907
0001,550790002022001,1,1,0.0010504201680672268
0002,550790002013000,1,1,1
0003,550790001011000,93,1,0.09799789251844046
0003,550790001011001,263,1,0.27713382507903056
0003,550790001011002,67,1,0.07060063224446786
0003,550790001011004,5,1,0.005268703898840885
0003,550790001012000,6,1,0.006322444678609062
0003,550790001012001,15,1,0.015806111696522657
0003,550790001012002,8,1,0.008429926238145416
0003,550790001012004,4,1,0.004214963119072708
0003,550790001012005,245,1,0.2581664910432034
0003,550790001012006,173,1,0.18229715489989462
0003,550790001012007,70,1,0.0737618545837724
0004,550790001013000,23,1,0.08394160583941605
0004,550790001013001,7,1,0.025547445255474453
0004,550790001014002,8,1,0.029197080291970802
0004,550790001014003,1,1,0.0036496350364963502
0004,550790001014004,18,1,0.06569343065693431
0004,550790001014005,38,1,0.1386861313868613
0004,550790001014006,55,1,0.20072992700729927
0004,550790001014007,2,1,0.0072992700729927005
0004,550790001022007,6,1,0.021897810218978103
0004,550790001023000,65,1,0.23722627737226276
0004,550790001023001,29,1,0.10583941605839416
0004,550790001023002,4,1,0.014598540145985401
0004,550790001023003,4,1,0.014598540145985401
0004,550790001023004,14,1,0.051094890510948905
0005,550790001021000,3,1,0.006423982869379015
0005,550790001021001,1,1,0.0021413276231263384
0005,550790001021002,27,1,0.057815845824411134
0005,550790001021003,1,1,0.0021413276231263384
0005,550790001022000,13,1,0.027837259100642397
0005,550790001022001,7,1,0.014989293361884369
0005,550790001022002,3,1,0.006423982869379015
0005,550790001022003,10,1,0.021413276231263382
0005,550790001022004,8,1,0.017130620985010708
0005,550790001022005,6,1,0.01284796573875803
0005,550790001022006,55,1,0.11777301927194861
0005,550790001022008,24,1,0.05139186295503212
0005,550790001022009,12,1,0.02569593147751606
0005,550790001022010,284,1,0.6081370449678801
0005,550790001022014,13,1,0.027837259100642397
0006,550790002021007,39,1,0.016448755799240825
0006,550790002021008,56,1,0.02361872627583298
0006,550790002021011,31,1,0.013074652045550401
0006,550790002021016,75,1,0.03163222269084774
0006,550790002021017,54,1,0.022775200337410376
0006,550790002021018,99,1,0.04175453395191902
0006,550790002021019,121,1,0.051033319274567696
0006,550790002021020,78,1,0.03289751159848165
0006,550790002021021,63,1,0.026571067060312106
0006,550790002021022,47,1,0.01982285955293125
0006,550790002021023,33,1,0.013918177983973008
0006,550790002021024,60,1,0.025305778152678194
0006,550790002022000,9,1,0.003795866722901729
0006,550790002022002,2,1,8.435259384226065e-4
0006,550790002022004,6,1,0.0025305778152678194
0006,550790002022006,349,1,0.14719527625474482
0006,550790002022007,26,1,0.010965837199493884
0006,550790002022008,96,1,0.04048924504428511
0006,550790002022009,30,1,0.012652889076339097
0006,550790002022010,137,1,0.05778152678194855
0006,550790002022011,108,1,0.04555040067482075
0006,550790002022012,72,1,0.030366933783213833
0006,550790002022013,80,1,0.03374103753690426
0006,550790002022014,97,1,0.04091100801349642
0006,550790002022015,35,1,0.014761703922395614
0006,550790002022016,31,1,0.013074652045550401
0006,550790002022017,85,1,0.035849852382960776
0006,550790002023002,96,1,0.04048924504428511
0006,550790002023003,203,1,0.08561788274989456
0006,550790002023004,47,1,0.01982285955293125
0006,550790002023006,17,1,0.007169970476592155
0006,550790002023016,89,1,0.03753690425980599
0007,550790002021000,3,1,0.002336448598130841
0007,550790002021001,117,1,0.0911214953271028
0007,550790002021002,116,1,0.09034267912772585
0007,550790002021003,254,1,0.19781931464174454
0007,550790002021004,75,1,0.05841121495327103
0007,550790002021005,58,1,0.045171339563862926
0007,550790002021006,63,1,0.04906542056074766
0007,550790002021009,75,1,0.05841121495327103
0007,550790002021010,133,1,0.10358255451713395
0007,550790002021012,105,1,0.08177570093457943
0007,550790002021013,61,1,0.04750778816199377
0007,550790002021014,94,1,0.07320872274143302
0007,550790002021015,128,1,0.09968847352024922
0007,550790002022003,2,1,0.001557632398753894
0008,550790002023009,2,1,8.631851532153647e-4
0008,550790002023010,13,1,0.0056107034958998705
0008,550790002023011,1,1,4.3159257660768235e-4
0008,550790002023017,72,1,0.03107466551575313
0008,550790002023023,4,1,0.0017263703064307294
0008,550790002023026,36,1,0.015537332757876565
0008,550790002023027,189,1,0.08157099697885196
0008,550790002023028,82,1,0.035390591281829954
0008,550790002023029,6,1,0.002589555459646094
0008,550790002023032,141,1,0.06085455330168321
0008,550790002023033,77,1,0.03323262839879154
0008,550790002023034,243,1,0.10487699611566681
0008,550790002023035,7,1,0.0030211480362537764
0008,550790002023036,8,1,0.0034527406128614588
0008,550790002023037,1,1,4.3159257660768235e-4
0008,550790002023042,46,1,0.01985325852395339
0008,550790002023044,98,1,0.04229607250755287
0008,550790002023045,76,1,0.03280103582218386
0008,550790003021008,70,1,0.030211480362537766
0008,550790003021010,12,1,0.005179110919292188
0008,550790003041000,88,1,0.03798014674147605
0008,550790003041001,27,1,0.011652999568407424
0008,550790003041002,75,1,0.032369443245576175
0008,550790003041003,67,1,0.028916702632714716
0008,550790003041004,132,1,0.05697022011221407
0008,550790003041005,38,1,0.01640051791109193
0008,550790003041006,34,1,0.0146741476046612
0008,550790003041007,51,1,0.0220112214069918
0008,550790003041008,45,1,0.019421665947345707
0008,550790003041009,53,1,0.022874406560207165
0008,550790003041010,31,1,0.013379369874838154
0008,550790003041013,59,1,0.025463962019853258
0008,550790003041014,43,1,0.01855848079413034
0008,550790003041015,116,1,0.050064738886491156
0008,550790003041016,55,1,0.023737591713422528
0008,550790003041017,53,1,0.022874406560207165
0008,550790003041018,45,1,0.019421665947345707
0008,550790003041019,38,1,0.01640051791109193
0008,550790003041020,41,1,0.017695295640914977
0008,550790003041021,42,1,0.01812688821752266
0009,550790001022012,59,1,0.04402985074626865
0009,550790001022013,180,1,0.13432835820895522
0009,550790001022015,50,1,0.03731343283582089
0009,550790001022016,61,1,0.04552238805970149
0009,550790001022017,57,1,0.04253731343283582
0009,550790001022018,80,1,0.05970149253731343
0009,550790001022019,36,1,0.026865671641791045
0009,550790001022020,62,1,0.04626865671641791
0009,550790001022021,81,1,0.06044776119402985
0009,550790001022022,39,1,0.029104477611940297
0009,550790001022023,51,1,0.03805970149253731
0009,550790001022024,52,1,0.03880597014925373
0009,550790001022025,16,1,0.011940298507462687
0009,550790001022026,13,1,0.009701492537313432
0009,550790003042000,10,1,0.007462686567164179
0009,550790003042001,244,1,0.18208955223880596
0009,550790003042003,83,1,0.06194029850746269
0009,550790003042004,63,1,0.04701492537313433
0009,550790003042015,103,1,0.07686567164179105
0010,550790003042005,82,1,0.034968017057569294
0010,550790003042006,51,1,0.021748400852878463
0010,550790003042012,89,1,0.03795309168443497
0010,550790003042013,179,1,0.07633262260127932
0010,550790003042014,77,1,0.03283582089552239
0010,550790003042016,130,1,0.05543710021321962
0010,550790003042017,90,1,0.03837953091684435
0010,550790003042018,115,1,0.04904051172707889
0010,550790003042019,86,1,0.03667377398720682
0010,550790003042025,170,1,0.07249466950959488
0010,550790006003000,191,1,0.0814498933901919
0010,550790006003001,114,1,0.04861407249466951
0010,550790006003002,104,1,0.044349680170575695
0010,550790006003003,81,1,0.034541577825159916
0010,550790006003004,95,1,0.04051172707889126
0010,550790006003005,131,1,0.055863539445628996
0010,550790006003006,114,1,0.04861407249466951
0010,550790006003007,69,1,0.029424307036247335
0010,550790006003008,83,1,0.03539445628997868
0010,550790006003009,118,1,0.05031982942430704
0010,550790006003010,41,1,0.017484008528784647
0010,550790006003011,4,1,0.0017057569296375266
0010,550790006003012,47,1,0.020042643923240937
0010,550790006003013,81,1,0.034541577825159916
0010,550790006003014,3,1,0.001279317697228145
0011,550790003042002,58,1,0.02857142857142857
0011,550790003042007,165,1,0.0812807881773399
0011,550790003042008,66,1,0.03251231527093596
0011,550790003042009,126,1,0.06206896551724138
0011,550790003042010,3,1,0.001477832512315271
0011,550790003042011,127,1,0.06256157635467981
0011,550790006001001,95,1,0.046798029556650245
0011,550790006001002,95,1,0.046798029556650245
0011,550790006001003,48,1,0.023645320197044337
0011,550790006001004,52,1,0.02561576354679803
0011,550790006001005,53,1,0.026108374384236452
0011,550790006001006,38,1,0.0187192118226601
0011,550790006001007,28,1,0.013793103448275862
0011,550790006002000,123,1,0.06059113300492611
0011,550790006002001,43,1,0.021182266009852218
0011,550790006002002,49,1,0.02413793103448276
0011,550790006002003,37,1,0.018226600985221674
0011,550790006002004,41,1,0.02019704433497537
0011,550790006002005,92,1,0.04532019704433497
0011,550790006002006,98,1,0.04827586206896552
0011,550790006002007,99,1,0.04876847290640394
0011,550790006002008,54,1,0.026600985221674877
0011,550790006002009,129,1,0.06354679802955665
0011,550790006002010,85,1,0.04187192118226601
0011,550790006002011,106,1,0.052216748768472904
0011,550790006002012,66,1,0.03251231527093596
0011,550790006002013,54,1,0.026600985221674877
0012,550790006004000,21,1,0.011673151750972763
0012,550790006004001,446,1,0.24791550861589773
0012,550790006004002,40,1,0.022234574763757644
0012,550790006004003,44,1,0.024458032240133407
0012,550790006004004,180,1,0.1000555864369094
0012,550790006004005,82,1,0.045580878265703166
0012,550790006004006,54,1,0.03001667593107282
0012,550790006004007,97,1,0.05391884380211229
0012,550790006004008,83,1,0.04613674263479711
0012,550790006004009,106,1,0.05892162312395775
0012,550790006004011,54,1,0.03001667593107282
0012,550790006004012,140,1,0.07782101167315175
0012,550790006004013,47,1,0.02612562534741523
0012,550790006004015,68,1,0.03779877709838799
0012,550790006004016,69,1,0.03835464146748194
0012,550790006004017,95,1,0.0528071150639244
0012,550790006004018,60,1,0.033351862145636464
0012,550790006004019,33,1,0.018343524180100056
0012,550790006004020,80,1,0.04446914952751529
0013,550790006005000,272,1,0.2804123711340206
0013,550790006005001,30,1,0.030927835051546393
0013,550790006005002,152,1,0.15670103092783505
0013,550790006005003,98,1,0.10103092783505155
0013,550790006005004,97,1,0.1
0013,550790006005005,38,1,0.03917525773195876
0013,550790007003005,47,1,0.04845360824742268
0013,550790008001014,15,1,0.015463917525773196
0013,550790008002014,221,1,0.22783505154639175
0014,550790007003000,4,1,0.10810810810810811
0014,550790007003001,3,1,0.08108108108108109
0014,550790007003002,1,1,0.02702702702702703
0014,550790007003003,14,1,0.3783783783783784
0014,550790007003004,15,1,0.40540540540540543
0015,550790007001000,13,1,0.008069522036002483
0015,550790007001001,43,1,0.02669149596523898
0015,550790007001002,47,1,0.029174425822470516
0015,550790007001003,66,1,0.040968342644320296
0015,550790007001004,81,1,0.05027932960893855
0015,550790007001005,67,1,0.04158907510862818
0015,550790007001006,59,1,0.03662321539416512
0015,550790007001007,77,1,0.04779639975170701
0015,550790007001008,46,1,0.028553693358162633
0015,550790007001009,105,1,0.06517690875232775
0015,550790007001010,49,1,0.03041589075108628
0015,550790007001011,20,1,0.012414649286157667
0015,550790007001012,49,1,0.03041589075108628
0015,550790007001013,84,1,0.0521415270018622
0015,550790007002000,67,1,0.04158907510862818
0015,550790007002001,25,1,0.015518311607697082
0015,550790007002002,87,1,0.054003724394785846
0015,550790007002003,45,1,0.027932960893854747
0015,550790007002004,77,1,0.04779639975170701
0015,550790007002005,45,1,0.027932960893854747
0015,550790007002006,166,1,0.10304158907510863
0015,550790007002007,43,1,0.02669149596523898
0015,550790007002008,59,1,0.03662321539416512
0015,550790007002009,48,1,0.0297951582867784
0015,550790007002010,81,1,0.05027932960893855
0015,550790007002011,42,1,0.0260707635009311
0015,550790007003006,8,1,0.004965859714463066
0015,550790007003007,12,1,0.0074487895716946
0016,550790008001009,156,1,0.07768924302788845
0016,550790008001011,57,1,0.02838645418326693
0016,550790008002003,128,1,0.06374501992031872
0016,550790008002004,111,1,0.055278884462151394
0016,550790008002005,36,1,0.017928286852589643
0016,550790008002006,37,1,0.018426294820717132
0016,550790008002007,172,1,0.08565737051792828
0016,550790008002008,194,1,0.09661354581673307
0016,550790008002009,126,1,0.06274900398406374
0016,550790008002010,59,1,0.029382470119521914
0016,550790008002011,281,1,0.1399402390438247
0016,550790008002012,294,1,0.14641434262948208
0016,550790008002013,175,1,0.08715139442231076
0016,550790008002015,116,1,0.05776892430278884
0016,550790008002020,25,1,0.01245019920318725
0016,550790011001005,34,1,0.01693227091633466
