neighborhood,block,bedrooms,pct.of.block,pct.of.neighborhood
ALCOTT PARK,550790195001005,154,1,0.09395973154362416
ALCOTT PARK,550790195001006,238,1,0.1452104942037828
ALCOTT PARK,550790195001007,113,1,0.06894447834045149
ALCOTT PARK,550790195001008,109,1,0.06650396583282489
ALCOTT PARK,550790195002008,133,1,0.0811470408785845
ALCOTT PARK,550790195002009,138,1,0.08419768151311775
ALCOTT PARK,550790195002010,138,1,0.08419768151311775
ALCOTT PARK,550790195002011,127,1,0.0774862721171446
ALCOTT PARK,550790195002012,125,1,0.0762660158633313
ALCOTT PARK,550790195002013,108,1,0.06589383770591824
ALCOTT PARK,550790195002014,74,1,0.04514948139109213
ALCOTT PARK,550790195002015,182,1,0.11104331909701037
ALVERNO,550790191002004,120,1,0.2591792656587473
ALVERNO,550790191002005,33,1,0.07127429805615551
ALVERNO,550790191002006,7,1,0.01511879049676026
ALVERNO,550790191002007,1,1,0.0021598272138228943
ALVERNO,550790191002008,95,1,0.20518358531317496
ALVERNO,550790191002010,32,1,0.06911447084233262
ALVERNO,550790191002011,1,1,0.0021598272138228943
ALVERNO,550790191002012,64,1,0.13822894168466524
ALVERNO,550790191002013,61,1,0.13174946004319654
ALVERNO,550790191002014,44,1,0.09503239740820735
ALVERNO,550791203001045,5,0.25,0.01079913606911447
ARLINGTON GARDENS,550790033002004,80,1,0.03205128205128205
ARLINGTON GARDENS,550790033002005,119,1,0.04767628205128205
ARLINGTON GARDENS,550790033002006,66,1,0.026442307692307692
ARLINGTON GARDENS,550790033002007,102,1,0.040865384615384616
ARLINGTON GARDENS,550790033002008,73,1,0.029246794871794872
ARLINGTON GARDENS,550790033002009,53,1,0.02123397435897436
ARLINGTON GARDENS,550790033003003,34,1,0.013621794871794872
ARLINGTON GARDENS,550790033003004,131,1,0.05248397435897436
ARLINGTON GARDENS,550790033003005,68,1,0.027243589743589744
ARLINGTON GARDENS,550790033003008,152,1,0.060897435897435896
ARLINGTON GARDENS,550790033003009,109,1,0.04366987179487179
ARLINGTON GARDENS,550790033003010,6,1,0.002403846153846154
ARLINGTON GARDENS,550790034001002,36,1,0.014423076923076924
ARLINGTON GARDENS,550790034001003,69,1,0.027644230769230768
ARLINGTON GARDENS,550790034001004,89,1,0.03565705128205128
ARLINGTON GARDENS,550790034001005,108,1,0.04326923076923077
ARLINGTON GARDENS,550790034001006,48,1,0.019230769230769232
ARLINGTON GARDENS,550790034001007,129,1,0.051682692307692304
ARLINGTON GARDENS,550790034001008,29,1,0.011618589743589744
ARLINGTON GARDENS,550790034001009,106,1,0.04246794871794872
ARLINGTON GARDENS,550790034001010,97,1,0.03886217948717949
ARLINGTON GARDENS,550790034001011,90,1,0.036057692307692304
ARLINGTON GARDENS,550790034001012,101,1,0.04046474358974359
ARLINGTON GARDENS,550790034001013,82,1,0.032852564102564104
ARLINGTON GARDENS,550790034001014,68,1,0.027243589743589744
ARLINGTON GARDENS,550790034001016,79,1,0.031650641025641024
ARLINGTON GARDENS,550790034001017,81,1,0.03245192307692308
ARLINGTON GARDENS,550790034001018,43,1,0.017227564102564104
ARLINGTON GARDENS,550790034001019,7,1,0.0028044871794871795
ARLINGTON GARDENS,550790034001020,44,1,0.017628205128205128
ARLINGTON GARDENS,550790034001021,24,1,0.009615384615384616
ARLINGTON GARDENS,550790034002000,23,1,0.00921474358974359
ARLINGTON GARDENS,550790034002007,31,1,0.012419871794871794
ARLINGTON GARDENS,550790034002008,53,1,0.02123397435897436
ARLINGTON GARDENS,550790034002016,66,1,0.026442307692307692
ARLINGTON HEIGHTS,550790045002001,111,1,0.0252387448840382
ARLINGTON HEIGHTS,550790045002002,174,1,0.03956343792633015
ARLINGTON HEIGHTS,550790045002003,139,1,0.03160527512505684
ARLINGTON HEIGHTS,550790045002004,138,1,0.03137789904502047
ARLINGTON HEIGHTS,550790045002006,26,1,0.005911778080945885
ARLINGTON HEIGHTS,550790045002009,21,1,0.0047748976807639835
ARLINGTON HEIGHTS,550790045002010,51,1,0.011596180081855388
ARLINGTON HEIGHTS,550790045002012,120,1,0.027285129604365622
ARLINGTON HEIGHTS,550790045002013,66,1,0.015006821282401092
ARLINGTON HEIGHTS,550790045002015,111,1,0.0252387448840382
ARLINGTON HEIGHTS,550790045003000,172,1,0.03910868576625739
ARLINGTON HEIGHTS,550790045003001,151,1,0.03433378808549341
ARLINGTON HEIGHTS,550790045003002,56,1,0.01273306048203729
ARLINGTON HEIGHTS,550790045003003,26,1,0.005911778080945885
ARLINGTON HEIGHTS,550790045003004,72,1,0.01637107776261937
ARLINGTON HEIGHTS,550790045003005,92,1,0.020918599363346977
ARLINGTON HEIGHTS,550790045003006,86,1,0.019554342883128694
ARLINGTON HEIGHTS,550790045003007,96,1,0.021828103683492497
ARLINGTON HEIGHTS,550790046001000,101,1,0.022964984083674398
ARLINGTON HEIGHTS,550790046001001,91,1,0.020691223283310595
ARLINGTON HEIGHTS,550790046001002,54,1,0.01227830832196453
ARLINGTON HEIGHTS,550790046001003,105,1,0.023874488403819918
ARLINGTON HEIGHTS,550790046001004,36,1,0.008185538881309686
ARLINGTON HEIGHTS,550790046001005,92,1,0.020918599363346977
ARLINGTON HEIGHTS,550790046001006,78,1,0.017735334242837655
ARLINGTON HEIGHTS,550790046001007,51,1,0.011596180081855388
ARLINGTON HEIGHTS,550790046001008,103,1,0.023419736243747158
ARLINGTON HEIGHTS,550790046001009,104,1,0.02364711232378354
ARLINGTON HEIGHTS,550790046002000,100,1,0.022737608003638016
ARLINGTON HEIGHTS,550790046002001,88,1,0.020009095043201454
ARLINGTON HEIGHTS,550790046002002,59,1,0.013415188722146431
ARLINGTON HEIGHTS,550790046002003,123,1,0.02796725784447476
ARLINGTON HEIGHTS,550790046002004,62,1,0.01409731696225557
ARLINGTON HEIGHTS,550790046002006,74,1,0.01682582992269213
ARLINGTON HEIGHTS,550790046002007,95,1,0.021600727603456115
ARLINGTON HEIGHTS,550790046003000,57,1,0.01296043656207367
ARLINGTON HEIGHTS,550790046003001,34,1,0.007730786721236926
ARLINGTON HEIGHTS,550790046003002,125,1,0.028422010004547523
ARLINGTON HEIGHTS,550790046003003,83,1,0.018872214643019556
ARLINGTON HEIGHTS,550790046003004,67,1,0.015234197362437472
ARLINGTON HEIGHTS,550790046003005,72,1,0.01637107776261937
ARLINGTON HEIGHTS,550790046003006,76,1,0.017280582082764895
ARLINGTON HEIGHTS,550790046003007,89,1,0.020236471123237836
ARLINGTON HEIGHTS,550790046004000,1,1,2.2737608003638017e-4
ARLINGTON HEIGHTS,550790046004001,88,1,0.020009095043201454
ARLINGTON HEIGHTS,550790046004002,105,1,0.023874488403819918
ARLINGTON HEIGHTS,550790046004003,102,1,0.023192360163710776
ARLINGTON HEIGHTS,550790046004004,74,1,0.01682582992269213
ARLINGTON HEIGHTS,550790046004005,4,1,9.095043201455207e-4
ARLINGTON HEIGHTS,550790046004006,5,1,0.001136880400181901
ARLINGTON HEIGHTS,550790046004008,73,1,0.016598453842655753
ARLINGTON HEIGHTS,550790046004009,58,1,0.01318781264211005
ARLINGTON HEIGHTS,550790046004010,69,1,0.015688949522510234
ARLINGTON HEIGHTS,550790046004011,69,1,0.015688949522510234
ARLINGTON HEIGHTS,550790046004012,23,1,0.005229649840836744
AVENUES WEST,550790137001004,7,1,0.0048814504881450485
AVENUES WEST,550790137001005,26,1,0.01813110181311018
AVENUES WEST,550790137001006,53,1,0.03695955369595537
AVENUES WEST,550790137001007,4,1,0.002789400278940028
AVENUES WEST,550790137001008,6,1,0.0041841004184100415
AVENUES WEST,550790137001009,24,1,0.016736401673640166
AVENUES WEST,550790137001010,14,1,0.009762900976290097
AVENUES WEST,550790137002000,77,1,0.05369595536959554
AVENUES WEST,550790137002001,19,1,0.013249651324965132
AVENUES WEST,550790137002002,4,1,0.002789400278940028
AVENUES WEST,550790137002003,30,1,0.02092050209205021
AVENUES WEST,550790137002004,43,1,0.0299860529986053
AVENUES WEST,550790146001006,2,1,0.001394700139470014
AVENUES WEST,550790146001007,27,1,0.01882845188284519
AVENUES WEST,550790146001008,16,1,0.011157601115760111
AVENUES WEST,550790146001009,86,1,0.0599721059972106
AVENUES WEST,550790146001010,15,1,0.010460251046025104
AVENUES WEST,550790146001011,2,1,0.001394700139470014
AVENUES WEST,550790146002000,2,1,0.001394700139470014
AVENUES WEST,550790146002003,14,1,0.009762900976290097
AVENUES WEST,550790147001002,44,1,0.030683403068340307
