ward,blockgroup,bedrooms,pct.of.blockgroup,pct.of.ward
0001,550790002011,434,1,0.45588235294117646
0001,550790002012,518,0.9942418426103646,0.5441176470588235
0002,550790002013,1,1,1
0003,550790001011,428,1,0.45100105374077976
0003,550790001012,521,1,0.5489989462592202
0004,550790001013,24,1,0.08759124087591241
0004,550790001014,128,1,0.46715328467153283
0004,550790001022,6,0.004694835680751174,0.021897810218978103
0004,550790001023,116,1,0.4233576642335766
0005,550790001021,32,1,0.06852248394004283
0005,550790001022,435,0.3403755868544601,0.9314775160599572
0006,550790002012,1,0.0019193857965451055,4.2176296921130323e-4
0006,550790002021,756,0.37095191364082436,0.3188528047237453
0006,550790002022,1162,1,0.49008857022353436
0006,550790002023,452,0.2908622908622909,0.19063686208350908
0007,550790002012,2,0.003838771593090211,0.001557632398753894
0007,550790002021,1282,0.6290480863591756,0.9984423676012462
0008,550790002023,1102,0.7091377091377091,0.47561501942166595
0008,550790003021,82,0.047180667433831994,0.035390591281829954
0008,550790003041,1133,1,0.4889943892965041
0009,550790001022,837,0.6549295774647887,0.6246268656716418
0009,550790003042,503,0.19176515440335493,0.3753731343283582
0010,550790003042,1084,0.4132672512390393,0.46226012793176974
0010,550790006003,1261,1,0.5377398720682303
0011,550790003042,545,0.2077773541746092,0.2684729064039409
0011,550790006001,409,1,0.20147783251231527
0011,550790006002,1076,1,0.5300492610837438
0012,550790006004,1799,1,1
0013,550790006005,664,1,0.6845360824742268
0013,550790007003,47,0.4519230769230769,0.04845360824742268
0013,550790008001,15,0.013914656771799629,0.015463917525773196
0013,550790008002,244,0.08827785817655572,0.2515463917525773
0014,550790007003,37,0.3557692307692308,1
0015,550790007001,822,1,0.5102420856610801
0015,550790007002,769,1,0.47734326505276226
0015,550790007003,20,0.19230769230769232,0.012414649286157667
0016,550790008001,213,0.19758812615955473,0.10607569721115538
0016,550790008002,1754,0.6345875542691751,0.8735059760956175
0016,550790011001,41,0.03810408921933085,0.02041832669322709
0017,550790008001,849,0.787569573283859,0.6622464898595943
0017,550790008002,385,0.13929088277858176,0.3003120124804992
0017,550790011001,48,0.04460966542750929,0.0374414976599064
0018,550790009001,1390,1,1
0019,550790008001,1,9.276437847866419e-4,8.561643835616438e-4
0019,550790008002,381,0.13784370477568741,0.3261986301369863
0019,550790009002,786,0.9974619289340102,0.672945205479452
0020,550790009002,2,0.0025380710659898475,0.0011331444759206798
0020,550790010001,306,0.6637744034707158,0.173371104815864
0020,550790010002,822,1,0.46572237960339946
0020,550790010003,635,0.6539649845520082,0.3597733711048159
0021,550790011001,986,0.9163568773234201,0.9919517102615694
0021,550790011003,8,0.014760147601476014,0.008048289738430584
0022,550790010003,336,0.34603501544799176,0.18855218855218855
0022,550790010004,912,1,0.5117845117845118
0022,550790011003,534,0.985239852398524,0.2996632996632997
0023,550790011001,1,9.293680297397769e-4,0.0010787486515641855
0023,550790012001,736,0.9509043927648578,0.7939590075512406
0023,550790012002,190,0.2765647743813683,0.20496224379719524
0024,550790012001,38,0.04909560723514212,0.03881511746680286
0024,550790012002,497,0.7234352256186317,0.5076608784473953
0024,550790012003,444,1,0.45352400408580185
0025,550790013001,783,0.9583843329253366,0.4325966850828729
0025,550790013002,1027,1,0.567403314917127
0026,550790013001,34,0.0416156670746634,0.01979045401629802
0026,550790013003,939,1,0.5465657741559954
0026,550790013004,745,1,0.43364377182770664
0027,550790015001,1102,0.99909338168631,0.7298013245033113
0027,550790015002,408,0.6306027820710973,0.27019867549668874
0028,550790014001,262,1,1
0029,550790014002,386,0.5019505851755527,1
0030,550790014002,383,0.4980494148244473,0.2964396284829721
0030,550790015001,1,9.066183136899365e-4,0.00077399380804953565
0030,550790015002,239,0.3693972179289026,0.184984520123839
