neighborhood,blockgroup,bedrooms,pct.of.blockgroup,pct.of.neighborhood
ALCOTT PARK,550790195001,614,0.41683638832315,0.3746186699206833
ALCOTT PARK,550790195002,1025,0.48786292241789625,0.6253813300793166
ALVERNO,550790191002,463,0.592071611253197,1
ARLINGTON GARDENS,550790033002,493,0.6369509043927648,0.19751602564102563
ARLINGTON GARDENS,550790033003,500,0.6090133982947625,0.20032051282051283
ARLINGTON GARDENS,550790034001,1330,0.9895833333333334,0.5328525641025641
ARLINGTON GARDENS,550790034002,173,0.15082824760244115,0.06931089743589744
ARLINGTON HEIGHTS,550790045002,957,1,0.21759890859481582
ARLINGTON HEIGHTS,550790045003,751,1,0.1707594361073215
ARLINGTON HEIGHTS,550790046001,815,1,0.18531150522964984
ARLINGTON HEIGHTS,550790046002,601,1,0.13665302410186447
ARLINGTON HEIGHTS,550790046003,625,1,0.1421100500227376
ARLINGTON HEIGHTS,550790046004,649,1,0.14756707594361074
AVENUES WEST,550790137001,134,0.31529411764705884,0.09344490934449093
AVENUES WEST,550790137002,173,1,0.1206415620641562
AVENUES WEST,550790146001,148,0.4713375796178344,0.10320781032078104
AVENUES WEST,550790146002,16,1,0.011157601115760111
AVENUES WEST,550790147001,267,1,0.18619246861924685
AVENUES WEST,550790147002,100,0.9803921568627451,0.0697350069735007
AVENUES WEST,550790148001,211,0.5121359223300971,0.14714086471408647
AVENUES WEST,550790148002,83,1,0.05788005578800558
AVENUES WEST,550790149001,118,0.6982248520710059,0.08228730822873083
AVENUES WEST,550790149002,161,0.486404833836858,0.11227336122733612
AVENUES WEST,550791863001,5,0.07246376811594203,0.003486750348675035
AVENUES WEST,550791864001,1,0.1,6.97350069735007e-4
AVENUES WEST,550791864002,17,0.5,0.011854951185495118
BARAN PARK,550791866001,188,0.24867724867724866,0.5179063360881543
BARAN PARK,550791866002,175,0.19422863485016648,0.4820936639118457
BAY VIEW,550790166002,11,0.0176,6.024426310312723e-4
BAY VIEW,550790179001,433,1,0.023714332657867352
BAY VIEW,550790179002,724,1,0.0396516786242401
BAY VIEW,550790179003,1279,1,0.07004764773536339
BAY VIEW,550790179004,582,1,0.031874691932745496
BAY VIEW,550790180001,2726,1,0.14929623747193166
BAY VIEW,550790181001,955,1,0.052302973875896816
BAY VIEW,550790181002,872,1,0.047757270387206306
BAY VIEW,550790182001,1114,1,0.0610110082698943
BAY VIEW,550790182002,936,1,0.051262391149570076
BAY VIEW,550790183001,972,1,0.053234021578399696
BAY VIEW,550790183002,906,1,0.04961936579221206
BAY VIEW,550790183003,797,1,0.04364970699381127
BAY VIEW,550790184001,874,1,0.047866805411030174
BAY VIEW,550790184002,688,1,0.03768004819541048
BAY VIEW,550790185001,72,0.07851690294438386,0.003943260857659237
BAY VIEW,550790206001,1107,0.597732181425486,0.060627635686510764
BAY VIEW,550790206002,1217,0.584814992791927,0.06665206199682348
BAY VIEW,550790207001,783,1,0.042882961827044194
BAY VIEW,550790207005,233,0.33428981348637016,0.012760830275480585
BAY VIEW,550790207006,921,1,0.05044087847089107
BAY VIEW,550790208001,1,0.0015290519877675841,5.476751191193384e-5
BAY VIEW,550791866001,56,0.07407407407407407,0.003066980667068295
