neighborhood,ward,bedrooms,pct.of.ward,pct.of.neighborhood
ALCOTT PARK,0272,1101,0.6672727272727272,0.6717510677242221
ALCOTT PARK,0273,538,0.41448382126348227,0.3282489322757779
ALVERNO,0280,463,0.19568892645815722,1
ARLINGTON GARDENS,0075,1395,1,0.5588942307692307
ARLINGTON GARDENS,0076,161,0.1358649789029536,0.06450320512820513
ARLINGTON GARDENS,0077,940,0.7035928143712575,0.3766025641025641
ARLINGTON HEIGHTS,0113,384,0.24489795918367346,0.08731241473396999
ARLINGTON HEIGHTS,0114,1111,1,0.25261482492041837
ARLINGTON HEIGHTS,0115,2077,1,0.47226011823556163
ARLINGTON HEIGHTS,0116,319,0.24519600307455802,0.07253296953160528
ARLINGTON HEIGHTS,0118,507,0.33029315960912053,0.11527967257844475
AVENUES WEST,0189,2,0.003875968992248062,0.001394700139470014
AVENUES WEST,0190,87,0.8285714285714286,0.060669456066945605
AVENUES WEST,0191,25,0.9259259259259259,0.017433751743375175
AVENUES WEST,0192,465,0.9728033472803347,0.32426778242677823
AVENUES WEST,0193,172,0.10129564193168433,0.1199442119944212
AVENUES WEST,0194,195,1,0.13598326359832635
AVENUES WEST,0195,254,0.6529562982005142,0.17712691771269176
AVENUES WEST,0196,234,0.17835365853658536,0.16317991631799164
BARAN PARK,0249,363,0.22448979591836735,1
BAY VIEW,0241,1605,1,0.08790185661865381
BAY VIEW,0242,1328,1,0.07273125581904814
BAY VIEW,0243,1601,1,0.08768278657100607
BAY VIEW,0244,1413,1,0.07738649433156251
BAY VIEW,0245,1250,1,0.0684593898899173
BAY VIEW,0246,2251,1,0.12328166931376308
BAY VIEW,0247,1133,1,0.06205159099622104
BAY VIEW,0248,2218,1,0.12147434142066926
BAY VIEW,0249,16,0.009894867037724181,8.762801905909415e-4
BAY VIEW,0292,72,0.04838709677419355,0.003943260857659237
BAY VIEW,0295,1154,0.7964113181504486,0.06320170874637165
BAY VIEW,0296,346,0.1987363584147042,0.018949559121529107
BAY VIEW,0297,1444,1,0.07908428720083246
BAY VIEW,0298,1322,1,0.07240265074757654
BAY VIEW,0300,1,4.6274872744099955e-4,5.476751191193384e-5
BAY VIEW,0301,434,0.20346929207688702,0.023769100169779286
BAY VIEW,0325,671,1,0.03674900049290761
BLUEMOUND HEIGHTS,0206,318,0.2713310580204778,0.09549549549549549
BLUEMOUND HEIGHTS,0207,1527,1,0.45855855855855854
BLUEMOUND HEIGHTS,0208,1424,1,0.4276276276276276
BLUEMOUND HEIGHTS,0209,61,0.04244954766875435,0.01831831831831832
BORCHERT FIELD,0112,706,0.4363411619283066,0.2035168636494667
